type,area,status,decision,authoritative_references,current_aria2_next_surface,required_behavior_or_prune_reason,user_visible_impact,checkpoint
parity,Reference authority,pending,adapt,"amule-official; emule-official-0.50a; mldonkey-official; wireshark-official; protocol-docs","docs/maintenance/ed2k references older disallowed projects","Use only the current authoritative local references. Treat the older tracker as historical because its completion claim was disproven by live interoperability behavior.","Future work stops depending on stale or disallowed reference assumptions.",RF0
parity,Live interoperability baseline,partial,adapt,"protocol-docs ED2K client/server and client/client flow; aMule/eMule runtime behavior","Draft implementation can parse links, create tasks, connect servers, discover sources, and sometimes reach peer hello/eMule-info exchange, but public peer transfer still stalls at zero bytes.","Keep using controlled short live runs plus local peer fixtures. Treat public single-source runs as nondeterministic when LowID and stale peers prevent reaching the same packet boundary twice.","Refactor work targets observed packet boundaries instead of speculative features.",RF1
parity,File link parsing,pending,adapt,"aMule ED2KLink; eMule ED2KLink; protocol-docs aMule-Ed2k_link","ed2k_link.* parses file links, names, size, MD4, part hashes, AICH, and inline sources","Verify file link parsing and serialization for safe filenames, MD4 file hash, part hashes, AICH root, inline sources, source user hash, and source crypt options. Keep aria2-next percent-decoding and path safety stronger than legacy clients where appropriate.","Users can add file links without losing metadata or accepting unsafe output names.",RF2
parity,Server and nodes links,pending,adapt,"aMule ED2KLink; eMule ED2KLink; protocol-docs aMule-Ed2k_link","ed2k_link.* supports server, serverlist, and nodeslist link types","Verify server links, serverlist URLs, and nodeslist URLs. Use aria2-next request/session plumbing rather than legacy GUI prompts or auto-update dialogs.","Users can import server and Kad bootstrap data through normal aria2-next task/session paths.",RF2
parity,server.met parsing,pending,adapt,"aMule ServerList and Server; eMule ServerListCtrl and Server; MLDonkey donkeyInteractive and donkeyServers","ed2k_server.* parses server.met metadata into ED2K server endpoints and states","Audit version handling, IP/port fields, tag parsing, duplicate server merge, unknown tags, malformed files, compressed/downloaded server.met inputs, and persistence. Adapt parser behavior to safe aria2-next inputs without implementing GUI update history.","Server lists load reliably without poisoning server state or depending on legacy UI behavior.",RF2
parity,nodes.dat parsing,pending,adapt,"aMule Kad contacts; eMule Kademlia routing zone; MLDonkey donkeyNodesDat and donkeyOvernet","ed2k_kad.* and Ed2kKadState parse and persist routing snapshots","Audit nodes.dat headers, contact ID/IP/UDP/TCP/version fields, Kad version variants, malformed input handling, bootstrap merge, and durable routing state. Adapt only classic Kad behavior needed by aria2-next.","Kad bootstrap data survives restart and rejects bad contacts safely.",RF2
parity,Server source discovery,pending,port,"aMule ServerSocket and ServerUDPSocket; eMule ServerSocket; MLDonkey donkeyServers and donkeyProtoServer; Wireshark packet-edonkey","Ed2kCommand server handling and ed2k_server.*","Implement or correct login, IDChange, HighID/LowID, GetSources, GetSources OBFU, FoundSources, FoundSources OBFU, callback, server status, messages, server list, UDP status, and persisted server state.","Server discovery works with modern servers and does not drop valid source formats.",RF3
parity,OBFU and crypt source metadata,pending,adapt,"aMule source OBFU paths; eMule source OBFU paths; Wireshark sourceOBFU dissector","SourceExchangeEntry cryptOptions and server source parsing","Represent obfuscation settings, optional user hash, direct callback bits, and crypt support/request/require flags where they affect source connection behavior. Prune only crypt behavior that is not implemented and must not be advertised.","Peers receive accurate connection options and fewer immediate disconnects.",RF3
parity,LowID HighID callback,pending,port,"protocol-docs callback mechanism; aMule/eMule server callback handling; MLDonkey indirect address handling","Server state, callback request handling, incoming peer listener","Support HighID direct peer connections, LowID callback through shared server when possible, and safe failure handling when LowID-to-LowID transfer is impossible or unsupported.","LowID users get honest behavior and valid callback paths instead of silent stalls.",RF3
parity,Peer hello and eMule info,pending,port,"aMule ClientTCPSocket and DownloadClient; eMule ListenSocket and DownloadClient; Wireshark eMule info dissector","ed2k_peer.* and Ed2kCommand hello handling","Parse, generate, and validate peer hello, hello answer, eMule info, misc options, misc options 2, and server endpoint fields. Advertise only implemented capabilities.","Modern peers should not reject aria2-next because it claims unsupported protocol features.",RF4
parity,Multipacket and file identifiers,pending,port,"aMule DownloadClient and ClientTCPSocket; eMule DownloadClient, ListenSocket, FileIdentifier; Wireshark multipacket handling","Current constants and handlers do not cover the full modern request flow","Implement OP_MULTIPACKET, OP_MULTIPACKET_EXT, OP_MULTIPACKET_EXT2, multipacket answer handling where required, and file identifier read/write/compare behavior adapted to aria2-next metadata.","Modern aMule/eMule peers can complete the file request handshake.",RF5
parity,Secure identification,pending,adapt,"eMule secure identification packets; aMule client credit and secure-ident behavior; Wireshark SEC_IDENT, PUBLIC_KEY, SIGNATURE","No complete secure-ident subsystem is evident in current ED2K draft","Either implement the secure-ident packet flow needed for advertised capabilities or stop advertising it. Prune credit-security behavior only with evidence that file transfer interoperability does not require it.","Peer trust and credit behavior remain honest and interoperable.",RF4
parity,Crypt and obfuscation transport,pending,adapt,"aMule EncryptedStreamSocket and EncryptedDatagramSocket; eMule encrypted sockets; Wireshark crypt option fields","Current ED2K draft records some crypt options but does not own an encrypted ED2K transport","Implement only if required for practical peer/server interoperability. Otherwise parse and preserve source metadata but do not advertise crypt support as locally available.","Avoids peers selecting an encrypted path that aria2-next cannot complete.",RF4
